Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,ISO_Code,Hist_Temp,Future_Temp,Temp_Rise
印度尼西亚,2024,1269354.0,807578.0,636.2,IDN,27.5,29.0,1.6
哥伦比亚,2024,837685.0,839846.69,1002.6,COL,26.5,28.7,2.2
埃塞俄比亚,2024,862943.0,575696.18,667.1,ETH,16.7,18.6,1.9
巴西,2024,1943977.0,3387724.0,1742.7,BRA,26.5,28.5,2.0
越南,2024,678569.0,2015289.0,2969.9,VNM,23.0,24.6,1.6
